City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,college,64.8569,-147.8028,33.78,43,40,6.91,US,1681623269
226,okhotsk,59.3833,143.3,30.72,84,51,5.14,RU,1681623269
227,chonchi,-42.6128,-73.8092,45.12,92,24,4.92,CL,1681623269
228,hithadhoo,-0.6,73.0833,83.98,71,26,6.15,MV,1681623269
229,acarau,-2.8856,-40.12,76.15,93,100,7.67,BR,1681623270
230,dryden,49.7833,-92.7503,25.09,86,100,10.36,CA,1681623270
231,kenai,60.5544,-151.2583,44.69,60,40,4.61,US,1681623270
232,kavaratti,10.5669,72.642,84.11,71,56,3.18,IN,1681623270
233,mokhsogollokh,61.4681,128.9203,33.49,99,100,7.49,RU,1681623270
234,tezu,27.9167,96.1667,100.81,18,94,5.32,IN,1681623271
235,bat khela,34.6167,71.9714,82.4,32,99,5.17,PK,1681623271
236,malpica,43.3228,-8.8105,53.24,91,16,5.14,ES,1681623271
237,bloemfontein,-29.1211,26.214,36.88,87,0,2.3,ZA,1681623272
238,vilyuchinsk,52.9306,158.4028,37.67,95,76,2.39,RU,1681623273
239,mangalia,43.8,28.5833,53.37,88,99,8.23,RO,1681623273
240,souillac,-20.5167,57.5167,80.98,83,75,2.3,MU,1681623273
241,alice springs,-23.7,133.8833,65.75,45,0,13.8,AU,1681623274
242,patterson,37.4716,-121.1297,58.95,79,0,3.29,US,1681623274
243,ajdovscina,45.886,13.9095,48.58,98,81,7.16,SI,1681623274
244,manghit,42.1156,60.0597,53.58,57,69,21.12,UZ,1681623275
245,springfield,37.2153,-93.2982,44.53,76,100,18.01,US,1681623250
246,alo,7.4178,6.7371,80.04,80,96,2.35,NG,1681623275
247,sakaiminato,35.55,133.2333,53.58,76,75,12.66,JP,1681623003
248,huarmey,-10.0681,-78.1522,78.17,79,100,8.08,PE,1681623275
249,thanh pho uong bi,21.0333,106.7833,85.98,64,96,8.12,VN,1681623275
250,ozorkow,51.9634,19.2914,45.95,98,98,7.2,PL,1681623276
251,hayrat,40.8884,40.3699,65.89,45,21,2.55,TR,1681623276
252,conceicao do araguaia,-8.2578,-49.2647,76.68,86,97,1.34,BR,1681623277
253,hellin,38.5106,-1.701,49.48,65,0,13.94,ES,1681623277
254,fereydun kenar,36.6864,52.5225,66.42,59,0,4.61,IR,1681623277
255,adelia maria,-33.6315,-64.021,54.64,89,97,4.07,AR,1681623277
256,gloucester,51.8657,-2.2431,50.79,77,100,4.38,GB,1681623226
257,hammerfest,70.6634,23.6821,32.45,69,77,2.3,NO,1681623277
258,muna,20.4833,-89.7167,79.07,66,19,7.02,MX,1681623278
259,oranjemund,-28.55,16.4333,68.04,32,0,5.46,NA,1681623278
260,kill devil hills,36.0307,-75.676,66.2,85,0,4.61,US,1681623127
261,haiku-pauwela,20.9219,-156.3051,74.05,77,40,16.11,US,1681623195
262,kismayo,-0.3582,42.5454,85.86,64,58,8.81,SO,1681623278
263,nova olinda do norte,-3.8881,-59.0942,74.41,98,100,1.63,BR,1681623278
264,marka,1.7159,44.7717,86.0,61,92,8.9,SO,1681623278
265,qaqortoq,60.7167,-46.0333,33.73,64,55,9.66,GL,1681623279
266,perleberg,53.0667,11.8667,46.85,87,100,8.43,DE,1681623279
267,hamina,60.5697,27.1979,36.68,69,50,8.66,FI,1681623279
268,labytnangi,66.6572,66.4183,9.45,76,62,5.77,RU,1681623279
269,peterhead,57.5058,-1.7981,46.8,90,100,15.66,GB,1681623226
270,portland,45.5234,-122.6762,54.19,72,99,3.0,US,1681623141
271,nema,57.5067,50.5011,36.55,58,83,10.6,RU,1681623279
272,bac lieu,9.285,105.7244,88.75,56,100,8.39,VN,1681623279
273,hasaki,35.7333,140.8333,75.29,75,74,5.99,JP,1681623280
274,urzhar,47.093,81.6294,55.29,53,69,14.65,KZ,1681623280
275,vernon,50.2581,-119.2691,50.36,58,100,4.61,CA,1681623171
276,las lajitas,-24.6833,-64.25,57.92,98,100,2.95,AR,1681623280
277,vila franca do campo,37.7167,-25.4333,63.01,92,32,11.9,PT,1681623280
278,korla,41.7597,86.1469,79.59,16,43,5.95,CN,1681623280
279,kruisfontein,-34.0033,24.7314,57.69,54,43,2.21,ZA,1681623280
280,crane,31.3974,-102.3501,63.32,28,0,17.02,US,1681623281
281,khovd,48.0056,91.6419,58.17,19,21,31.47,MN,1681623281
282,kiruna,67.8557,20.2251,29.32,51,100,5.75,SE,1681623281
283,tual,-5.6667,132.75,82.94,75,97,5.84,ID,1681623281
284,castillos,-34.1667,-53.8333,51.98,84,98,2.55,UY,1681623281
285,bardai,11.65,7.2333,77.67,42,99,6.78,NG,1681623281
286,xilin hot,43.9667,116.0333,49.98,15,56,10.51,CN,1681623281
287,sabang,5.8933,95.3214,83.57,72,100,6.76,ID,1681623281
288,katsuura,35.1333,140.3,66.25,61,44,29.12,JP,1681623281
289,knysna,-34.0363,23.0471,59.77,61,8,2.39,ZA,1681623281
290,nchelenge,-9.3451,28.734,69.04,89,98,6.89,ZM,1681623281
291,boende,-0.2167,20.8667,75.15,83,100,1.39,CD,1681623282
292,atlanta,33.749,-84.388,69.15,76,40,3.44,US,1681623201
293,nola,40.922,14.5329,50.16,96,100,0.58,IT,1681623282
294,hemsby,52.6971,1.6918,40.93,95,99,5.61,GB,1681623282
295,constantia,44.1833,28.65,52.7,91,100,9.24,RO,1681623151
296,susuman,62.7833,148.1667,24.15,74,96,2.64,RU,1681623282
297,den helder,52.9599,4.7593,47.01,93,75,11.99,NL,1681623182
298,novovorontsovka,47.5004,33.9175,45.48,76,100,17.45,UA,1681623282
299,galiakot,23.5167,74.0,96.15,17,0,6.15,IN,1681623282
300,hobyo,5.3505,48.5268,84.87,69,19,9.19,SO,1681623065
301,tura,25.5198,90.2201,98.13,17,86,7.49,IN,1681623282
302,lihue,21.9789,-159.3672,74.44,80,40,17.27,US,1681623283
303,annau,37.8876,58.516,63.9,32,2,6.91,TM,1681623283
304,makokou,0.5738,12.8642,71.11,98,100,1.3,GA,1681623283
305,weno,7.4515,151.8468,87.75,70,100,9.22,FM,1681623283
306,belomorsk,64.5232,34.7668,33.15,81,100,3.91,RU,1681623283
307,childress,34.4264,-100.204,50.25,40,0,10.36,US,1681623283
308,lively,46.4334,-81.1498,59.92,60,31,1.23,CA,1681623284
309,port douglas,-16.4833,145.4667,83.37,70,100,3.67,AU,1681623284
310,mount gambier,-37.8333,140.7667,58.3,53,63,9.84,AU,1681623284
311,feicheng,35.2606,117.9675,72.39,19,1,4.12,CN,1681623284
312,la'ie,21.6477,-157.9253,78.76,76,45,4.0,US,1681623284
313,axim,4.8699,-2.2405,78.98,86,74,2.51,GH,1681623284
314,kristiansund,63.1115,7.732,43.45,87,100,0.0,NO,1681623285
315,bikenibeu village,1.3673,173.1241,84.16,79,75,8.05,KI,1681623285
316,lata,40.1629,-8.3327,51.08,85,1,4.9,PT,1681623285
317,karratha,-20.7377,116.8463,83.16,19,5,15.46,AU,1681623285
318,anaconda,46.1285,-112.9423,36.59,88,85,5.41,US,1681623285
319,wardha,20.75,78.6167,101.14,16,3,4.68,IN,1681623285
320,la sarre,48.8002,-79.1996,47.26,99,95,5.46,CA,1681623285
321,nyurba,63.2842,118.3319,32.38,89,71,8.37,RU,1681623286
322,yigo village,13.5361,144.8886,86.32,74,100,12.66,GU,1681623286
323,tarnogskiy gorodok,60.4997,43.5761,36.07,69,100,2.66,RU,1681623286
324,sumbawa besar,-8.5,117.4333,86.36,66,69,6.13,ID,1681623286
325,talsi,57.2456,22.5814,44.62,68,100,5.99,LV,1681623286
326,san antonio de pale,-1.4014,5.6325,81.18,79,100,6.26,GQ,1681623287
327,alovera,40.5937,-3.2453,53.69,90,15,6.89,ES,1681623287
328,holualoa,19.6228,-155.9522,75.04,83,40,11.5,US,1681623287
329,prudentopolis,-25.2131,-50.9778,61.9,100,98,1.52,BR,1681623287
330,senanga,-16.1167,23.2667,68.5,58,10,10.56,ZM,1681623287
331,ulaangom,49.9811,92.0667,42.17,60,19,14.67,MN,1681623287
332,ketchikan,55.3422,-131.6461,43.27,81,100,11.5,US,1681623287
333,acapulco de juarez,16.8634,-99.8901,78.62,83,0,3.44,MX,1681623287
334,luderitz,-26.6481,15.1594,74.61,29,0,8.72,NA,1681623287
335,makubetsu,45.3714,141.8211,33.51,93,100,28.77,JP,1681623288
336,port hedland,-20.3167,118.5667,82.45,24,1,14.97,AU,1681623288
337,nogliki,51.8333,143.1667,30.83,92,80,8.3,RU,1681623288
338,bereket,39.2446,55.5154,62.58,43,18,9.62,TM,1681623288
339,chilca,-12.5211,-76.7372,73.99,84,100,5.44,PE,1681623288
340,carnarvon,-24.8667,113.6333,78.93,33,4,6.53,AU,1681623288
341,nanao,37.05,136.9667,65.3,70,62,17.65,JP,1681623188
342,rey bouba,8.6724,14.1786,86.38,42,68,1.81,CM,1681623288
343,ta`u,-14.2336,-169.5144,81.25,76,98,5.28,AS,1681623288
344,amga,60.8953,131.9608,34.27,93,92,8.63,RU,1681623289
345,puerto palomas,31.7667,-107.6167,62.26,14,0,6.87,MX,1681623289
346,campo grande,-20.4428,-54.6464,71.15,94,0,4.61,BR,1681622990
347,itoman,26.1247,127.6694,79.57,55,75,4.61,JP,1681623289
348,kolpashevo,58.3131,82.9089,20.3,76,100,16.71,RU,1681623289
349,lamu,-2.2717,40.902,86.22,66,98,6.64,KE,1681623289
350,bukoba,-1.3317,31.8122,66.18,94,100,0.0,TZ,1681623289
351,nadi,-17.8,177.4167,84.2,74,75,5.75,FJ,1681623290
352,tolanaro,-25.0319,46.9987,75.27,73,75,4.61,MG,1681623290
353,saint-philippe,-21.3585,55.7679,83.79,76,26,7.43,RE,1681623273
354,palmer,42.1584,-72.3287,64.62,85,100,0.0,US,1681623290
355,tazacorte,28.629,-17.9293,65.37,86,100,11.5,ES,1681623290
356,loango,-4.6719,11.8312,76.66,100,75,3.44,CG,1681623290
357,oruro,-17.9833,-67.15,48.74,64,100,3.67,BO,1681623290
358,nalut,30.3333,10.85,63.1,30,2,9.22,LY,1681623290
359,anadyr,64.75,177.4833,12.7,66,9,13.42,RU,1681623292
360,nar'yan-mar,67.6713,53.087,30.99,90,99,11.83,RU,1681623292
361,ponta delgada,37.7333,-25.6667,63.32,94,75,10.36,PT,1681623292
362,trenggalek,-8.05,111.7167,88.72,62,87,3.2,ID,1681623292
363,marivan,35.5219,46.176,60.03,37,95,3.91,IR,1681623292
364,kununurra,-15.7667,128.7333,85.98,51,86,11.5,AU,1681623094
365,parfino,57.9731,31.6481,41.22,51,100,8.55,RU,1681623292
366,kargil,34.5667,76.1,40.68,46,87,1.05,IN,1681623293
